Poll_Index,ADVERSARY,ALIEN,ALLIANCE,ALLIED,ALLY,ANARCHIST,ANARCHY,ANTITRUST,ATTACK,AUTOCRAT,AUTOCRATIC,BANISH,BANISHMENT,BATTLE,BOMB,CIVIL,COEXISTENCE,COLD,COLLABORATION,COLONY,COMBAT,COMMONER,COMMUNITY,COMPROMISE,CONFEDERATION,CONFLICT,CONFRONTATION,CONSPIRACY,CONTRIBUTION,CONTROVERSY,CORRUPTION,COUNCIL,COURTLY,CRIME,CRISIS,CRUSADE,CRUSADER,DEFEAT,DEFENSE,DICTATE,DICTATORIAL,DISCHARGE,DISPUTE,DIVISION,DOMINATION,ENEMY,ENSLAVE,ENTANGLE,ENTANGLEMENT,EQUALITY,FALLOUT,FASCIST,FEUDAL,FREEDOM,GHETTO,GUERRILLA,HUMANITARIAN,INDEPENDENCE,INDEPENDENT,INDICTMENT,INTERVENTION,INVADE,IRON,JAIL,JUSTICE,LAW,LEGAL,LIBERAL,LIBERALISM,LIBERTY,LOYAL,LOYALTY,NOMINATE,OPPONENT,OPPOSITION,PATRIOT,PATRIOTIC,PEACE,PLEDGE,POLLUTION,POOR,POVERTY,PRISON,PROHIBITION,PROPAGANDA,PROTEST,PROVIDENCE,RADICAL,RALLY,REACTIONARY,REBEL,REBELLION,REBELLIOUS,REFUGEE,REINSTATE,REVOLT,REVOLUTION,SANCTUARY,SECEDE,SECESSION,SEGREGATION,SIEGE,TACTICS,TARIFF,TREASON,TREASONOUS,TREATISE,TREATY,TYRANNY,UNDERWORLD,UNIMPEACHABLE,UNITY,USURP,VIOLENCE,WAR,WARFARE,WARLIKE,elections,senate,senator,democrats,republicans,Progressives,Socialism,Green New Deal,Affordable Care Act,Supreme Court Justice,Roe v. Wade,Abortion,Democratic Presidential Candidate,Republican Presidential Candidate,Democratic Senator,Republican Senator
1,0,27,39,30,0,0,22,0,60,0,0,0,0,55,21,53,0,41,0,63,30,0,57,0,0,32,0,27,0,54,0,19,0,67,11,0,0,0,84,0,0,20,0,43,51,0,0,0,0,53,0,0,0,14,17,0,0,0,77,66,64,33,27,49,52,79,45,0,0,37,30,0,0,0,0,35,0,27,69,31,38,21,38,61,0,33,14,0,0,0,0,0,0,90,0,0,34,35,0,0,0,92,0,49,0,0,0,0,52,0,0,42,0,41,42,0,0,10,19,19,0,27,0,0,0,0,0,0,37,0,0,0,0
2,0,40,34,40,28,0,0,0,48,0,59,0,0,46,31,83,0,44,0,37,17,0,85,0,45,29,0,24,55,0,0,73,0,79,92,57,0,0,31,0,0,27,30,60,45,0,0,0,0,47,17,0,53,54,0,0,0,19,19,0,28,0,48,44,72,68,50,28,54,87,0,0,0,44,0,16,0,36,0,42,17,0,54,0,0,30,13,0,30,0,30,0,0,40,0,53,41,21,0,0,0,41,22,44,0,0,0,29,0,0,0,55,0,55,79,0,0,13,25,78,19,60,0,34,0,0,0,0,39,0,0,0,0
3,0,32.66666667,46.66666667,32,28.33333333,0,33.33333333,0,42,0,19.66666667,0,0,54.33333333,32,77.33333333,0,44.66666667,15,44,23,33.33333333,72.66666667,33,25.33333333,29.33333333,0,20,37,0,33,51.33333333,0,48.66666667,72,38.33333333,0,0,46.33333333,0,0,30,31,63.66666667,30.33333333,9.333333333,0,0,0,32,14.33333333,0,17.66666667,36.66666667,15.33333333,16.66666667,0,17.33333333,42.66666667,0,48,30.33333333,64.33333333,57,46.33333333,72.66666667,54.66666667,35.33333333,18,66.33333333,9,11,0,44.66666667,11,18.66666667,0,49,10.33333333,32.66666667,31.66666667,29,54.66666667,0,0,20.33333333,17.33333333,30,27,0,28,19,0,26.66666667,0,17.66666667,57,17.66666667,0,21,16.66666667,41.66666667,45.33333333,29.33333333,18.33333333,0,0,34,16,9.666666667,0,40.33333333,18.33333333,43.66666667,69,0,0,19,44.66666667,63.33333333,46.33333333,28.33333333,0,26.66666667,0,0,16.66666667,0,42.66666667,0,0,0,0
4,0,16,12,55,28,54,0,0,44,0,0,0,0,77,47,69,0,39,44,57,24,0,63,75,31,38,29,48,0,0,48,52,0,53,69,0,0,0,44,0,0,36,0,69,0,29,0,0,0,0,13,0,0,61,31,0,0,11,51,0,58,30,56,41,33,77,40,29,54,61,0,32,0,0,32,16,24,43,31,70,17,29,83,0,0,61,13,30,20,0,0,0,0,41,0,0,52,16,47,0,0,41,46,45,56,0,0,0,0,58,0,28,0,19,87,0,0,24,17,34,20,24,0,0,0,0,0,49,28,0,0,0,0
5,0,41,42,42,28,0,39,0,60,0,0,0,0,54,47,54,0,40,0,29,32,0,75,51,32,20,0,25,28,0,50,41,0,48,30,58,49,0,45,0,0,37,31,47,0,29,0,0,0,49,17,0,0,74,32,0,0,20,52,60,29,0,60,38,41,65,67,19,0,39,0,33,0,0,0,0,0,13,64,29,0,29,63,0,0,31,13,31,62,0,16,0,0,42,0,0,26,16,0,0,51,0,0,46,0,0,0,59,0,29,0,19,0,19,62,26,0,27,32,80,30,49,0,23,0,0,0,100,62,0,0,0,91
6,0,54,39,0,0,0,0,74,33,0,0,0,0,83,73,71,0,56,0,0,46,0,44,0,100,48,0,0,0,0,0,19,0,56,25,0,0,79,43,0,0,0,0,26,77,48,0,0,0,0,42,0,0,41,51,0,0,37,32,0,97,0,88,100,22,59,25,32,91,55,0,0,0,0,0,53,0,71,51,47,29,0,92,92,0,0,22,50,0,0,25,0,0,100,0,90,52,26,0,0,82,0,0,74,0,0,0,48,0,0,0,0,0,31,66,42,0,11,28,28,0,0,0,38,0,0,0,0,56,0,0,100,0
7,0,24,47,45.5,14,0,10,22,24,0,0,0,0,56.5,32.5,68.5,0,59,33.5,47,20.5,0,78,49.5,36,38.5,44,36,13.5,24.5,0,71.5,0,43.5,22,14,0,23,50.5,0,0,41,15.5,46,23,35,0,0,0,0,16.5,25.5,0,34,19,0,0,11,44,0,36,0,45.5,40.5,66.5,74,47.5,23.5,27,44.5,13.5,24,0,0,0,20,12,42.5,15.5,14,21.5,28.5,45,27.5,23.5,0,22.5,30,55.5,0,22.5,0,0,0,29,0,31,16,0,15.5,0,62,56.5,22.5,0,0,29,14.5,0,22,0,37,0,37.5,70.5,0,0,34.5,23.5,34,29.5,49,0,34.5,0,0,24.5,24.5,37.5,0,0,30,0
8,0,48.25,51.75,41,19.25,14.5,31.25,0,55.75,0,15.5,0,0,51.25,55.5,69.25,0,50.75,23.25,26.25,35.5,0,56.75,13.5,33.25,28.5,60.5,45.5,34,12.75,33.5,36.25,40.75,39.75,24.75,12.25,0,0,45,0,0,29.25,21.25,54.75,12.5,59.5,0,0,0,12.25,17.75,0,23,40.25,16.25,0,0,9.75,44.5,0,27,0,55,57.25,50.25,53.5,52,23.25,0,61.75,0,13.5,0,0,13.75,15.25,0,55.75,29.25,26.5,35.5,28.25,50.25,0,12.25,43.25,19,41,71.5,0,30.75,7.5,0,17.5,0,0,31.25,20.75,0,16.5,33.75,0,12,12,0,0,0,55.25,12.25,8,0,20.75,0,27.75,84.5,13.25,0,21.25,28.75,42.25,23.75,56,0,25.5,0,0,26,32.25,50.75,0,0,0,0
9,0,36,54.66666667,60,0,18,26,14.66666667,37.66666667,0,0,0,0,52.33333333,41,79.33333333,0,60.66666667,0,33.66666667,27,0,67.33333333,50,10.33333333,45.66666667,9.666666667,0,28.33333333,8,0,46,19.66666667,49,18.33333333,9.666666667,0,30.66666667,61.66666667,0,0,39,36,51,30.66666667,23.66666667,0,0,0,32.33333333,26.66666667,0,0,34.66666667,25.66666667,0,18.33333333,12,53,20,43.33333333,0,47.66666667,58,69,70,60,25.33333333,0,48,0,0,0,30,0,26.66666667,12,42.66666667,31,23.33333333,26,29,48.66666667,37,46.66666667,10,39,10,60.33333333,0,22.66666667,38.33333333,0,0,19.33333333,0,48.33333333,21.33333333,0,21,16.66666667,14,22.66666667,0,0,0,0,43.66666667,0,19.33333333,0,22,0,25.33333333,68.66666667,17,0,38.33333333,32,34,26.33333333,40.66666667,0,46.33333333,0,0,0,0,78.33333333,0,0,0,0
10,0,30,38.5,49,14,27,35,0,47,0,0,0,0,54,49,75,0,57,0,31.5,20,0,61,25,15.5,64,0,0,42.5,37,0,37.5,0,43.5,32.5,0,25,0,54.5,0,0,45.5,15.5,46.5,23,43,0,0,0,49,27.5,0,27.5,37,11.5,0,27.5,10,42,30,14.5,0,35,54.5,63.5,77,52,19.5,27.5,59,0,16.5,27.5,22.5,0,24,30,31,46.5,42.5,22,34,66.5,28,23.5,15.5,42.5,30,20.5,0,23,29,0,20,0,0,36.5,36,23.5,16,25,0,23,23,0,0,0,51,0,14.5,0,14,0,19,71,13,0,51.5,30,47,10,30.5,0,46.5,0,0,0,0,66,0,0,0,0
